identifiant interne,libellé,type d'établissement,secteur d'établissement,X,Y,Commune,Unité urbaine,Code commune
1tI7C,Centrale Méditerranée,École,public,5.43829,43.34136,Marseille 13e,Marseille,13213
76MfM,École d'ingénieurs de Purpan,École,privé,1.400296,43.601838,Toulouse,Toulouse,31555
IlIW8,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,École,public,0.362013,46.661,Chasseneuil-du-Poitou,Poitiers,86062
kWved,École normale supérieure de Lyon,École,public,4.83376,45.7337,Lyon 7e,Lyon,69387
XHkD5,Institut supérieur du bâtiment et des travaux publics,École,privé,5.437304377555848,43.247519881264544,Marseille 9e,Marseille,13209
n1W55,Université de Perpignan Via Domitia,Université,public,2.89854,42.6844,Perpignan,Perpignan,66136
Onzi5,ECAM-EPMI,École,privé,2.074459,49.031763,Cergy,Paris,95127
HgdTq,École nationale des sciences géographiques,École,public,2.58736,48.84105,Champs-sur-Marne,Paris,77083
GCGkl,École nationale supérieure de techniques avancées Bretagne,École,public,-4.472605,48.418823,Brest,Brest,29019
QeAil,Ecole Nationale Supérieure des Beaux-Arts de Paris,École,public,2.334499,48.856491,Paris 6e,Paris,75106
JpuNC,École nationale supérieure maritime,Grand établissement,public,0.12238,49.48841,Le Havre,Le Havre,76351
mFZJs,ESIEE Paris,École,privé,2.58392,48.83999,Noisy-le-Grand,Paris,93051
3Um0y,Institut catholique de Lyon,École,privé,4.82637,45.74658,Lyon 2e,Lyon,69382
wp55m,IAE Paris - Sorbonne Business School,École,public,2.348565,48.83839,Paris 5e,Paris,75105
hfCvd,Sciences Po Lyon,Autre établissement,public,4.8354,45.7471,Lyon 7e,Lyon,69387
97b8l,Institut supérieur du commerce de Paris,École,privé,2.301231,48.892604,Paris 17e,Paris,75117
p25Q3,Université de Caen Normandie,Université,public,-0.36382,49.18884,Caen,Caen,14118
Y7ch7,Université Grenoble Alpes,Grand établissement,public,5.76726,45.19159,Saint-Martin-d'Hères,Grenoble,38421
CUBKB,Université Lumière - Lyon 2,Université,public,4.837181568145753,45.75061375319093,Lyon 7e,Lyon,69387
pVJpw,Université de Mayotte,Université,public,45.18741,-12.84547,Dembeni,Dembeni,97607
NAzKJ,École de management de Normandie,École,privé,0.12522,49.48939,Le Havre,Le Havre,76351
WaB2p,École nationale supérieure d'architecture de Normandie,École,public,1.1373,49.43767,Darnétal,Rouen,76212
Q6uOU,BUILDERS École d'ingénieurs,École,privé,-0.366436,49.2163,Épron,Caen,14242
